"","R2gainPvalue","R2losePvalue","AshiftPvalue","phasePvalue","intshiftPvalue"
"SS18L2",0.0551439361271185,0.944856063872881,0.107556810014766,0.416839808172279,0.368255648333268
"TMEM126A",0.0556012910476041,0.944398708952396,0.0447293112234898,0.844577730735557,0.356449357743019
"ASAP3",0.0557842330157984,0.944215766984202,0.321259163432514,0.466430148836358,0.938707907013211
"HLA.DPB1",0.0559083722085015,0.944091627791498,0.00816705215152824,0.163458648581546,0.890476563827146
"CMC1",0.0559279731336653,0.944072026866335,0.489892456257269,0.661518156990343,0.742260901381212
"FHOD3",0.0561043814601383,0.943895618539862,0.195858977877089,0.963973499549179,0.843101127706561
"PKIB",0.0562089197276778,0.943791080272322,0.0787499836658957,0.8443751878422,0.589125406719197
"HSD17B7",0.0564898663216904,0.94351013367831,0.600703019849204,0.571203627477884,0.52351457655468
"CPVL",0.0570256249428306,0.942974375057169,0.0215610176800345,0.605956067793066,0.806453931292224
"HSBP1L1",0.0570778940766005,0.9429221059234,0.390535366602637,0.0223777228951874,0.739706247468214
"RPL7",0.057123629568649,0.942876370431351,0.0620434617847295,0.926032642074039,0.518300730461144
"ADAM1A",0.0572020332693036,0.942797966730696,0.136337501796752,0.970748886014086,0.353764030995596
"TMEM258",0.0572935042534007,0.942706495746599,0.118461458047487,0.368713003253754,0.256327832007004
"ADAMTS19",0.0573457733871705,0.94265422661283,0.1934611313654,0.826211663857201,0.790041423288513
"RP9",0.057476446221595,0.942523553778405,0.105773125824872,0.563239118219713,0.645687143099821
"SAT1",0.0575483162805285,0.942451683719472,0.12981039371725,0.675029728069832,0.30915885896481
"SAP130",0.0575744508474133,0.942425549152587,0.210461667124022,0.957439857827956,0.421432958302299
"WBP2NL",0.0575875181308558,0.942412481869144,0.08310138905223,0.841376246292158,0.238660864792818
"GIMAP1",0.0576071190560195,0.94239288094398,0.0413056829615691,0.988330915885896,0.24123511963098
"DHX57",0.0580775412599475,0.941922458740053,0.628647405490873,0.775340729415762,0.515510865446182
"PIGBOS1",0.0580906085433899,0.94190939145661,0.222568505233447,0.976354750610895,0.415049590340664
"TDRD1",0.0581755458857658,0.941824454114234,0.0362617115527852,0.96007944908333,0.254145595672116
"PSMA3",0.058299685078469,0.941700314921531,0.270068080546735,0.585597240189737,0.612163027428228
"MRVI1",0.0583911560625662,0.941608843937434,0.105648986632169,0.743946580945287,0.914363557959936
"CD274",0.0587439727155121,0.941256027284488,0.244240594822742,0.800135899747801,0.388725547845858
"STAT5A",0.0588093091327244,0.941190690867276,0.0563983953375933,0.768611078442903,0.465940125707267
"NUP37",0.0594104041710769,0.940589595828923,0.563036575326355,0.972205888117919,0.901270139950606
"SLC24A1",0.0596521489147621,0.940347851085238,0.218700589334483,0.881897892247181,0.258477400133286
"KLF15",0.0598350908829564,0.940164909117044,0.176721941275628,0.952069204333111,0.453447802736289
"EARS2",0.0601421720438539,0.939857827956146,0.37067309577012,0.17897604766945,0.556718543781933
"RAD51B",0.0603577822206541,0.939642217779346,0.180250107805088,0.51849020607106,0.414474629869196
"FAM221A",0.0604949886967998,0.9395050113032,0.180949207469259,0.776529852209024,0.333196126857188
"DDX59",0.060501522338521,0.939498477661479,0.407209220275197,0.836730827028369,0.908999438106812
"ZNF736",0.0605472578305696,0.93945274216943,0.373162413265906,0.5206267069139,0.789270453565408
"SARNP",0.060971944542449,0.939028055457551,0.251172788688959,0.0591163902936218,0.461451513844787
"RPS7",0.0610960837351523,0.938903916264848,0.0775739281560757,0.785814157094882,0.774569759692658
"HSPE1",0.0611418192272009,0.938858180772799,0.107406536255178,0.374266598716793,0.623257151070864
"CKAP5",0.0612136892861344,0.938786310713866,0.294105348439113,0.680465717981889,0.424725913729795
"SP110",0.0613900976126073,0.938609902387393,0.180001829419682,0.644961908868765,0.177362238164308
"TMEM235",0.061442366746377,0.938557633253623,0.542599344022371,0.692592157016478,0.089765703607877
"GTF3C6",0.0616253087145713,0.938374691285429,0.331190298848772,0.761214996014479,0.336332274883374
"GNG11",0.0616514432814562,0.938348556718544,0.272256850523345,0.862375370784168,0.401518418336012
"ZNF274",0.0621022645602206,0.937897735439779,0.485122897800776,0.966763364564141,0.240444548982712
"OLR1",0.0623701438707907,0.937629856129209,0.0511518810354515,0.502195303618331,0.0199798763834986
"TRIM16L",0.0625530858389849,0.937446914161015,0.130894978242973,0.302148261397938,0.62457041305683
"PLD1",0.0625726867641486,0.937427313235851,0.186332928247547,0.814921530962928,0.0164059743619899
"ZNF501",0.0626314895396396,0.93736851046036,0.468971735465914,0.605871130450691,0.733362081356907
"TMA7",0.0627229605237367,0.937277039476263,0.102636977798685,0.502463182928901,0.143661714166242
"FHL1",0.063023508042913,0.936976491957087,0.699955571236296,0.767441556574804,0.33465312896102
"DPYD",0.0631737818025011,0.936826218197499,0.223359075881715,0.797176160048088,0.254844695336287
"NTNG1",0.0632391182197133,0.936760881780287,0.323284592366093,0.782521201667385,0.729415761757288
"JAK1",0.0634089929044651,0.936591007095535,0.386432239601709,0.723822964443922,0.495759666522927
"PDPR",0.0635919348726594,0.936408065127341,0.0697270244488873,0.923941876723248,0.283769127236139
"COQ5",0.0636376703647079,0.936362329635292,0.206312804631045,0.687358709997778,0.542573209455486
"GRM5",0.0637160740653625,0.936283925934637,0.367824427979667,0.952121473466881,0.776359977524272
"PPP2CB",0.0637226077070838,0.936277392292916,0.343551948985325,0.554634312072863,0.812856900179022
"JARID2",0.0639970206593751,0.936002979340625,0.492884864165589,0.928247546617534,0.671005004769558
"DUT",0.0640884916434722,0.935911508356528,0.566277261620082,0.593698955924053,0.590386399571393
"MTMR9LP",0.0645981156977276,0.935401884302272,0.341957740405347,0.392711069295804,0.0792138722281025
"CWF19L1",0.06519921073608,0.93480078926392,0.182367007722764,0.46162792217126,0.78965593842696
"SURF1",0.0652122780195226,0.934787721980477,0.154481424856587,0.0898898428005802,0.20767180210906
"ASNS",0.0655846955976322,0.934415304402368,0.350836959504489,0.740294275223124,0.789041776105165
"OCIAD2",0.0656173638062383,0.934382636193762,0.185235276438381,0.756033818129549,0.822918708429704
"CENPBD1",0.0661269878604936,0.933873012139506,0.171854378193317,0.599017340285128,0.576489343630353
"TAL1",0.0661792569942634,0.933820743005737,0.0125903275967959,0.943111581533315,0.0193003776444914
"GAS2",0.0661988579194271,0.933801142080573,0.239765050243705,0.933748872946803,0.172337867680688
"ZNF285",0.0662380597697545,0.933761940230246,0.633678309616214,0.831621519202373,0.581846929841755
"BLOC1S5",0.0662707279783605,0.93372927202164,0.243443490532753,0.517137742234767,0.757876305094934
"RPL31",0.0664406026631124,0.933559397336888,0.145647941249494,0.306421263083618,0.771381342532701
"NUAK1",0.0667150156154037,0.933284984384596,0.318880917845989,0.962327021835431,0.900015680740131
"RASAL2",0.0667476838240099,0.93325231617599,0.146771727625544,0.503933252316176,0.575581167431103
"TIMM8B",0.0668195538829433,0.933180446117057,0.110947770068081,0.884498281652227,0.12350542945627
"TMEM14A",0.0673291779371986,0.932670822062801,0.0681916186444,0.732891659152979,0.494609745579991
"ARHGEF28",0.067368379787526,0.932631620212474,0.217518000182942,0.464535392737204,0.098631855423576
"POP5",0.0677996001411266,0.932200399858873,0.196845557776994,0.846485554118154,0.825447227775818
"CNPY2",0.067838801991454,0.932161198008546,0.112071556444131,0.124433206580684,0.588060423118638
"CARM1P1",0.0678714702000601,0.93212852979994,0.0555816901224404,0.782566937159434,0.0186535471140904
"FAM104B",0.0682177532112849,0.931782246788715,0.808871378729076,0.709952043069766,0.932481346452886
"SLC9A9",0.0689037855920133,0.931096214407987,0.327995348047095,0.767715969527095,0.497040260300286
"METTL6",0.0693480732290565,0.930651926770944,0.487736354489265,0.947286578593176,0.677878395860285
"C6orf48",0.0694003423628262,0.930599657637174,0.141923765468397,0.376690579795366,0.829556888418467
"RMDN1",0.0695832843310205,0.93041671566898,0.403138761482875,0.593333071987664,0.611294053079305
"TSPAN2",0.0698903654919178,0.930109634508082,0.292079919505534,0.461438446561344,0.839187476315549
"PATJ",0.0699687691925726,0.930031230807427,0.209357481673135,0.841389313575601,0.370098135298653
"SPRED2",0.0699949037594575,0.930005096240543,0.29969814575248,0.857377134867432,0.456270335959857
"TCERG1L",0.0700210383263423,0.929978961673658,0.219687169234388,0.899891541547428,0.543677394906373
"SLC25A16",0.0700537065349485,0.929946293465052,0.207266716322344,0.618095574111098,0.868752205104081
"RPL26",0.0701125093104394,0.92988749068956,0.0495511388137521,0.564441308296418,0.380551962052609
"TIMM8A",0.0701843793693729,0.929815620630627,0.330667607511074,0.766696721418584,0.264762763469102
"PAOX",0.0704653259633855,0.929534674036614,0.215329230206332,0.783305238673932,0.12628222718779
"ADAMTS4",0.0710468200765743,0.928953179923426,0.339403086492349,0.737341069165131,0.0491917885190848
"SLC9A2",0.0710598873600167,0.928940112639983,0.194486913115632,0.586982372234636,0.0801024475021888
"LAMTOR5",0.071125223777229,0.928874776222771,0.291642165510212,0.0607498007239275,0.56733571157892
"TRIM69",0.0712166947613261,0.928783305238674,0.562559619480706,0.913096031466019,0.559449606021404
"DDX18",0.071569511414272,0.928430488585728,0.396814196296732,0.69436930756465,0.468514380545428
"BTG1",0.0716217805480419,0.928378219451958,0.205006076286801,0.658421210814484,0.310021299672011
"DCP1B",0.0720726018268062,0.927927398173194,0.761045121329727,0.634540750323415,0.951611849412626
"RPL39",0.0721118036771335,0.927888196322866,0.0117474878147582,0.167012949677891,0.0598808263750049
"EFCAB13",0.0721379382440185,0.927862061755982,0.0817162570073308,0.619088687652724,0.819710690344584
"DENND2C",0.0721706064526245,0.927829393547375,0.224652736942517,0.844629999869327,0.406934807322906
"TMEM256",0.0722882120036066,0.927711787996393,0.0281142603264207,0.117631685548891,0.0669371594339253
"HHAT",0.0723143465704914,0.927685653429509,0.250454088099625,0.674317561122218,0.198034680570256
"ELP2",0.0723208802122127,0.927679119787787,0.233322879506579,0.0524194075293687,0.531707763273093
"RPS19",0.07236008206254,0.92763991793746,0.0587505063572334,0.594071373502163,0.562932037058816
"C8orf4",0.0726214277313889,0.927378572268611,0.118010636768722,0.749421772707672,0.749284566231526
"RPL21P16",0.0728762397585166,0.927123760241483,0.0296431324891868,0.451749055888771,0.0224365256706783
"UBE2E3",0.0728893070419591,0.927110692958041,0.347008245455852,0.686646543050165,0.750767702902244
"ELOC",0.0732943928286749,0.926705607171325,0.216838501443935,0.628013642243914,0.282691076352137
"ZNF676",0.0736276085564572,0.926372391443543,0.0430893671514628,0.474022240516419,0.694467312190469
