"","genes","A","phase","offset","peak","R2","pvalue","qvalue"
"8842","NFIL3",0.232935431480612,14.5690090894742,3.39577412271651,15.4309909105258,0.180995478548369,0.000179675147333636,0.147058823529424
"9188","TEF",0.156758189244116,22.9938013851021,6.66926476923665,7.00619861489788,0.174361345692343,0.000218876997660988,0.16007905138342
"11273","ZDHHC23",0.233223662757376,17.1706157881377,6.05525340041675,12.8293842118623,0.173407918594901,0.000225410639382195,0.16007905138342
"13230","LINC01158",0.231628582039215,13.4013858900442,3.02508469647845,16.5986141099558,0.172001575654875,0.000231944281103402,0.16007905138342
"7574","UBASH3B",0.150021874697234,15.0255464298057,5.00938881659785,14.9744535701943,0.169533489931412,0.000245011564545816,0.16007905138342
"8059","ZFYVE28",0.247552502982415,1.05768935934323,4.66438213612603,4.94231064065677,0.167802878597545,0.000258078847988341,0.16007905138342
"10272","NR1D2",0.202815839644704,1.70328316936092,7.2273120461635,4.29671683063908,0.167409893357427,0.000264612489709548,0.16007905138342
"12995","ZNF844",0.170245810866623,10.7250402024765,4.92758885626949,-4.72504020247651,0.166408050380993,0.000290747056594376,0.165454545454521
"3503","ACVR2B",0.255867991088677,0.540064402640148,2.37570317186396,5.45993559735985,0.16636173370069,0.000297280698315583,0.165454545454521
"703","DGAT2",0.265831001926784,4.19353788613537,3.36014645506243,1.80646211386463,0.16506710099933,0.000316881623479315,0.166666666666669
"1629","RGS17",0.172148740057161,14.4081909381608,3.60527656545687,15.5918090618392,0.164819026479264,0.000323415265200522,0.166666666666669
"9583","KCNK9",0.155529276016325,0.52278812128038,3.37095614490965,5.47721187871962,0.16397982407207,0.000362617115527875,0.180194805194816
"4966","PNPLA7",0.334213503187644,23.7221393930596,3.14573830964362,6.27786060694042,0.16250386523865,0.000401818965855227,0.192789968652056
"13649","ZFHX4.AS1",0.351625857127043,9.6303202231759,1.21885924454866,-3.63032022317591,0.16130970676605,0.000427953532740055,0.198484848484838
"12880","IFRD2",0.21201596052878,3.52863049350059,2.75684002922053,2.47136950649941,0.159015592716716,0.000480222666509822,0.215542521994118
"10635","MLF1",0.219764577021721,12.0292343250905,4.99285515166469,17.9707656749095,0.157073335026226,0.000499823591673554,0.217329545454557
"4564","STK35",0.236688250542798,0.0981588921983692,4.78512284692892,5.90184110780163,0.156204279349473,0.000525958158558382,0.217914438502653
"5063","SLC6A6",0.197610224304993,23.4078913477868,4.00821491296303,6.59210865221316,0.154906823988643,0.000532491800279589,0.217914438502653
"7424","HOMER1",0.201606922233414,14.7993842203169,8.31306393578626,15.2006157796831,0.151884831578446,0.000623962784376708,0.248051948051929
"3016","ZBTB16",0.28578583133967,23.7252682400201,5.54366941408003,6.27473175997991,0.149410658855632,0.000682765559867793,0.252622377622368
"4162","AKAP1",0.195552378859925,0.253798676663718,4.68813372201313,5.74620132333628,0.148901389175722,0.000695832843310207,0.252622377622368
"2305","EEF2K",0.180574832209405,22.3484846872211,4.5916084834947,7.65151531277889,0.148849419262495,0.000702366485031414,0.252622377622368
"11489","PTCH1",0.263859502539741,22.19674896906,3.97111125056836,7.80325103094004,0.148436816466186,0.000721967410195146,0.252622377622368
"12815","ZNF845",0.16144578343799,11.5896656927717,4.18825135344834,-5.58966569277172,0.147775748113765,0.00073503469363756,0.252622377622368
"4080","MTHFD1L",0.117433766100561,22.4790570184249,4.18066181144306,7.5209429815751,0.146691447793218,0.000761169260522387,0.252622377622368
"6595","C1orf131",0.142344385562383,10.1546457247641,3.3275001563965,-4.15464572476409,0.146248474854276,0.000774236543964912,0.252622377622368
"3017","ELP4",0.166352103857289,10.9532784250421,4.47071812645131,-4.95327842504209,0.145565621879881,0.000826505677734679,0.252622377622368
"8583","FBXO40",0.207720226640208,3.3147078214059,3.01825420472225,2.68529217859411,0.145305823581496,0.000833039319455886,0.252622377622368
"1203","ADCYAP1R1",0.146832065936455,22.0716988319012,7.05408179433718,7.92830116809876,0.145015192288889,0.0008461066028983,0.252622377622368
"8383","NBPF10..includes.others.",0.224801354669583,21.9693381042529,3.13494398464727,8.03066189574714,0.144852914966875,0.000859173886340714,0.252622377622368
"13838","ALOX12P2",0.279550739145192,22.7875086532125,1.77943727530896,7.21249134678749,0.144787397634512,0.000865707528062032,0.252622377622368
"11525","SAPCD2",0.289990077744989,2.55686989533761,2.79631119311343,3.44313010466239,0.144387125725907,0.000885308453225653,0.252622377622368
"3531","KANSL3",0.13089067537498,1.20103779642252,5.64355964698785,4.79896220357748,0.144271315192165,0.000898375736668067,0.252622377622368
"4267","INHBA",0.274237479864455,14.9188121728981,1.85843579600068,15.0811878271019,0.144019164541228,0.000917976661831799,0.252622377622368
"11444","SHC4",0.232699374363885,11.7631647379208,3.99841816192248,-5.76316473792076,0.143594029526585,0.000931043945274213,0.252622377622368
"13612","SELENOP",0.363296256010175,10.636626110096,6.09129522124047,-4.63662611009602,0.143410782776547,0.000944111228716626,0.252622377622368
"10564","NIM1K",0.148658812184625,2.33373576937349,4.64593502262287,3.66626423062651,0.142807855085766,0.000970245795601565,0.254716981132079
"809","KDM4A",0.0947073090149074,23.2380904530561,5.36809647034287,6.7619095469439,0.141351765067635,0.00101598128765013,0.260330578512392
